case_id,case_number,is_911_call,problem,primary_offense,date,latitude,longitude,city_id,precinct_id,neighborhood_id,police_force_id,year,month,day,hour
1,08-013527,No,Suspicious Vehicle ,DWIREF,20080114,44.979153000000004,-93.277322,0,1,1,0,2008,01,14,1
2,08-025804,No,Assault in Progress ,ASLT4,20080127,44.981654999999996,-93.271963,0,1,1,1,2008,01,27,2
3,08-032626,No,Motor Vehicle Chase ,FLEE,20080202,44.984396000000004,-93.304503,0,2,2,2,2008,02,02,22
4,08-041372,Yes,Assault in Progress ,FORCE,20080212,45.021301,-93.244784,0,3,3,3,2008,02,12,1
5,08-045117,Yes,Domestic Abuse-In Progress ,DASLT5,20080216,44.953739,-93.253096,0,4,4,4,2008,02,16,12
6,08-053384,No,Fight ,ASLT4,20080225,44.979626,-93.272499,0,1,1,5,2008,02,25,2
7,08-071686,No,Emotionally Disturb Person ,CIC,20080314,44.961364,-93.26109699999999,0,4,5,6,2008,03,14,1
8,08-072416,Yes,Fight ,FORCE,20080314,44.970168,-93.250304,0,1,6,7,2008,03,14,19
9,08-074247,No,Attempt Pick-Up ,OBSTRU,20080316,44.962751000000004,-93.239666,0,4,7,8,2008,03,16,14
10,08-078410,Yes,Person with a Gun ,BURGD,20080320,44.947487,-93.26266600000001,0,4,8,9,2008,03,20,16
11,08-088888,No,Traffic Law Enforcement ,ASLT4,20080330,45.002031,-93.284933,0,2,9,10,2008,03,30,20
12,08-095026,No,Traffic Law Enforcement ,OBSTRU,20080405,44.953739,-93.253096,0,4,4,11,2008,04,05,11
13,08-016607,Yes,Domestic Abuse-In Progress ,ASLT1,20080117,45.004244,-93.283383,0,2,9,12,2008,01,17,12
14,08-019576,Yes,Domestic Abuse-In Progress ,DASLT5,20080120,44.940432,-93.246087,0,4,10,13,2008,01,20,18
15,08-024656,No,Assault in Progress ,ASLT5,20080126,44.979626,-93.272499,0,1,1,14,2008,01,26,1
16,08-024687,Yes,Domestic Abuse-In Progress ,DISCON,20080126,44.948361,-93.293832,0,5,11,15,2008,01,26,2
17,08-030704,No,Attempt Pick-Up ,CHLDAB,20080201,45.000883,-93.29563900000001,0,2,12,16,2008,02,01,6
18,08-031888,Yes,Burglary Biz - In Progress ,BURGB,20080202,44.975836,-93.271289,0,1,1,17,2008,02,02,6
19,08-043457,Yes,Assault in Progress ,OBSTRU,20080214,44.952851,-93.24865,0,4,13,18,2008,02,14,19
20,08-045117,Yes,Domestic Abuse-In Progress ,DASLT5,20080216,44.953739,-93.253096,0,4,4,19,2008,02,16,12
21,08-052461,No,Suspicious Person ,DISCON,20080224,44.980065,-93.271883,0,1,1,20,2008,02,24,1
22,08-059625,Yes,Person with a Weapon ,ASLT2,20080302,44.994690000000006,-93.26629799999999,0,3,14,21,2008,03,02,1
23,08-061104,No,Narcotics ,NARC,20080303,44.978407000000004,-93.278819,0,1,1,22,2008,03,03,19
24,08-066674,No,Suspicious Vehicle ,FLEEFT,20080309,45.005388,-93.29563,0,2,12,23,2008,03,09,3
25,08-014476,No,Unknown Trouble ,DISCON,20080115,0.0,0.0,0,6,15,24,2008,01,15,2
26,08-018973,No,Suspicious Vehicle ,RECVEH,20080119,45.010118,-93.286438,0,2,9,25,2008,01,19,22
27,08-025965,No,Suspicious Vehicle ,NOINS,20080127,44.948355,-93.282185,0,5,16,26,2008,01,27,10
28,08-045847,Yes,Assault in Progress ,DISCON,20080217,44.978372,-93.275399,0,1,1,27,2008,02,17,2
29,08-051496,Yes,Fight ,NARC,20080223,45.020367,-93.296222,0,2,17,28,2008,02,23,2
30,08-056375,No,Chase on Foot ,FLEEFT,20080228,45.006856,-93.299367,0,2,12,29,2008,02,28,0
31,08-064580,No,Fight ,ASLT2,20080307,44.976774,-93.27736,0,1,1,30,2008,03,07,3
32,08-074770,No,Burglary Dwlng In Progress ,BURGD,20080317,44.972815999999995,-93.280525,0,1,18,31,2008,03,17,0
33,08-078168,Yes,Suspicious Vehicle ,RECVEH,20080320,45.002689000000004,-93.30551,0,2,12,32,2008,03,20,11
34,08-095374,No,Suspicious Person ,NARC,20080405,44.978407000000004,-93.278819,0,1,1,33,2008,04,05,18
35,08-103121,No,Burglary Dwlng In Progress ,BURGD,20080413,45.043941,-93.31114000000001,0,2,19,34,2008,04,13,0
36,08-111468,No,Chase on Foot ,FLEEFT,20080420,44.898812,-93.225388,0,4,20,35,2008,04,20,13
37,08-003239,No,Suspicious Person ,FORCE,20080103,45.029365000000006,-93.288728,0,2,21,36,2008,01,03,23
38,08-006776,Yes,Trespass in Boarded Dwell ,NARC,20080107,44.962688,-93.269582,0,4,5,37,2008,01,07,14
39,08-025583,Yes,Music-Loud ,OBSTRU,20080126,45.000899,-93.25690300000001,0,3,22,38,2008,01,26,22
40,08-030704,No,Attempt Pick-Up ,CHLDAB,20080201,45.000883,-93.29563900000001,0,2,12,39,2008,02,01,6
41,08-031630,Yes,Loud Party ,OBSTRU,20080202,44.969758,-93.222832,0,3,23,40,2008,02,02,0
42,08-038438,Yes,Narcotics ,OBSTRU,20080208,44.939532,-93.245456,0,4,10,41,2008,02,08,20
43,08-043573,Yes,Unwanted Person ,DAMPRP,20080214,45.043001000000004,-93.28886,0,2,24,42,2008,02,14,22
44,08-045749,No,Suspicious Person ,DISCON,20080217,44.980833000000004,-93.27195999999999,0,1,1,43,2008,02,17,0
45,08-060326,Yes,Fight ,THFTSW,20080302,44.980065,-93.271883,0,1,1,44,2008,03,02,22
46,08-073658,No,Disturbance ,DISCON,20080315,44.97231,-93.25575400000001,0,1,25,45,2008,03,15,22
47,08-080177,Yes,Damage Property-In Progress,OBSTRU,20080322,45.028618,-93.228153,0,3,26,46,2008,03,22,4
48,08-084573,Yes,Robbery of Person ,ROBPAG,20080326,44.941340000000004,-93.24801500000001,0,4,27,47,2008,03,26,20
49,08-005035,No,Traffic Law Enforcement ,FLEE,20080105,44.999153,-93.293351,0,2,2,48,2008,01,05,17
50,08-007154,No,Suspicious Person ,LOITER,20080107,44.979240000000004,-93.27893900000001,0,1,1,49,2008,01,07,22
51,08-016607,Yes,Domestic Abuse-In Progress ,ASLT1,20080117,45.004244,-93.283383,0,2,9,50,2008,01,17,12
52,08-044382,Yes,Unwanted Person ,FORCE,20080215,45.005276,-93.263861,0,3,28,51,2008,02,15,19
53,08-059702,No,Disturbance ,OBSTRU,20080302,44.983466,-93.308302,0,2,29,52,2008,03,02,3
54,08-067307,No,Suspicious Person ,WEAP,20080309,45.014969,-93.24645,0,3,3,53,2008,03,09,22
55,08-071686,No,Emotionally Disturb Person ,CIC,20080314,44.961364,-93.26109699999999,0,4,5,54,2008,03,14,1
56,08-087169,No,Suspicious Person ,DISCON,20080329,44.981648,-93.273116,0,1,1,55,2008,03,29,2
57,08-088084,Yes,Unknown Trouble ,DASTR,20080329,45.001467,-93.270074,0,3,30,56,2008,03,29,23
