,case_id,case_number,is_911_call,problem,primary_offense,latitude,longitude,precinct_id,neighborhood_id,date,time,year,month,day,hour,city_id
0,1,08-013527,No,Suspicious Vehicle ,DWIREF,44.979153000000004,-93.277322,01,Downtown West,2008/01/14,01:46:49+00,2008,01,14,01,1
1,2,08-025804,No,Assault in Progress ,ASLT4,44.981654999999996,-93.271963,01,Downtown West,2008/01/27,02:31:10+00,2008,01,27,02,1
2,3,08-032626,No,Motor Vehicle Chase ,FLEE,44.984396000000004,-93.304503,04,Near - North,2008/02/02,22:40:31+00,2008,02,02,22,1
3,4,08-041372,Yes,Assault in Progress ,FORCE,45.021301,-93.244784,02,Audubon Park,2008/02/12,01:36:17+00,2008,02,12,01,1
4,5,08-045117,Yes,Domestic Abuse-In Progress ,DASLT5,44.953739,-93.253096,03,Midtown Phillips,2008/02/16,12:18:53+00,2008,02,16,12,1
5,6,08-053384,No,Fight ,ASLT4,44.979626,-93.272499,01,Downtown West,2008/02/25,02:22:01+00,2008,02,25,02,1
6,7,08-071686,No,Emotionally Disturb Person ,CIC,44.961364,-93.26109699999999,03,Ventura Village,2008/03/14,01:24:28+00,2008,03,14,01,1
7,8,08-072416,Yes,Fight ,FORCE,44.970168,-93.250304,01,Cedar Riverside,2008/03/14,19:45:41+00,2008,03,14,19,1
8,9,08-074247,No,Attempt Pick-Up ,OBSTRU,44.962751000000004,-93.239666,03,Seward,2008/03/16,14:06:48+00,2008,03,16,14,1
9,10,08-078410,Yes,Person with a Gun ,BURGD,44.947487,-93.26266600000001,03,Central,2008/03/20,16:34:59+00,2008,03,20,16,1
10,11,08-088888,No,Traffic Law Enforcement ,ASLT4,45.002031,-93.284933,04,Hawthorne,2008/03/30,20:42:05+00,2008,03,30,20,1
11,12,08-095026,No,Traffic Law Enforcement ,OBSTRU,44.953739,-93.253096,03,Midtown Phillips,2008/04/05,11:17:55+00,2008,04,05,11,1
12,13,08-016607,Yes,Domestic Abuse-In Progress ,ASLT1,45.004244,-93.283383,04,Hawthorne,2008/01/17,12:09:39+00,2008,01,17,12,1
