neighborhood_id,neighborhood_name
1,Downtown West
2,Near - North
3,Audubon Park
4,Midtown Phillips
5,Ventura Village
6,Cedar Riverside
7,Seward
8,Central
9,Hawthorne
10,Corcoran
11,CARAG
12,Jordan
13,East Phillips
14,St. Anthony West
15,Null
16,Lyndale
17,Folwell
18,Loring Park
19,Shingle Creek
20,Wenonah
21,Webber - Camden
22,Logan Park
23,Prospect Park - East River Road
24,Lind - Bohanon
25,Downtown East
26,Waite Park
27,Powderhorn Park
28,Bottineau
29,Harrison
30,Sheridan
31,Willard - Hay
32,Morris Park
33,Lowry Hill East
34,Bryant
35,Bancroft
36,Marcy Holmes
37,Holland
38,Cleveland
39,Steven's Square - Loring Heights
40,Phillips West
41,Windom Park
42,East Isles
43,Nicollet Island - East Bank
44,Elliot Park
45,Whittier
46,Longfellow
47,East Harriet
48,Sumner - Glenwood
49,King Field
50,Northeast Park
51,North Loop
52,St. Anthony East
53,Standish
54,Lynnhurst
55,Minnehaha
56,Lowry Hill
57,Hiawatha
58,McKinley
59,Diamond Lake
60,Victory
61,Como
62,Tangletown
63,West Calhoun
64,Regina
65,Ericsson
66,Beltrami
67,Linden Hills
68,Field
69,Marshall Terrace
70,Armatage
71,Northrop
72,Page
73,ECCO
74,Hale
75,Howe
76,Camden Industrial
77,Columbia Park
78,Mid - City Industrial
79,Bryn - Mawr
80,Keewaydin
81,University of Minnesota
82,Cedar - Isles - Dean
83,Fulton
84,Windom
85,Cooper
86,Kenwood
87,Kenny
88,Humboldt Industrial Area
