police_force_id,force_number,force_category_id,force_action,force_report_number,subject_id
0,15273935,0,Body Weight to Pin,1,1
1,15273936,1,Strikes,2,2
2,15273937,2,Firing Darts,4,3
3,15273938,0,Push Away,1,4
4,15273939,0,Body Weight to Pin,1,5
5,15273940,0,Punches,7,6
6,15273941,2,Both,1,7
7,15273942,3,Personal Mace,1,8
8,15273943,3,Personal Mace,1,9
9,15273944,2,Both,1,10
10,15273945,0,Punches,1,11
11,15273946,0,Body Weight to Pin,1,12
12,15273947,2,Firing Darts,1,13
13,15273948,0,Joint Lock,1,14
14,15273949,2,Touch,1,15
15,15273950,3,Personal Mace,5,16
16,15273951,0,Push Away,2,17
17,15273952,0,Body Weight to Pin,2,18
18,15273953,0,Body Weight to Pin,1,19
19,15273954,0,Joint Lock,1,20
20,15273955,3,Personal Mace,1,21
21,15273956,2,Both,1,22
22,15273957,2,Touch,1,23
23,15273958,0,Kicks,1,24
24,15273959,0,Push Away,1,25
25,15273960,0,Knees,1,26
26,15273961,0,Body Weight to Pin,1,27
27,15273962,3,Personal Mace,1,28
28,15273963,2,Both,1,29
29,15273964,0,Punches,1,30
30,15273965,0,Punches,1,31
31,15273966,4,Off Lead,1,32
32,15273967,4,Off Lead,2,33
33,15273968,2,Firing Darts,1,34
34,15273969,0,Slaps,1,35
35,15273970,0,Body Weight to Pin,1,36
36,15273971,3,Personal Mace,1,37
37,15273972,0,Knees,3,38
38,15273973,0,Push Away,1,39
39,15273974,0,Push Away,1,40
40,15273975,0,Body Weight to Pin,1,41
41,15273976,0,Joint Lock,2,42
42,15273977,0,Joint Lock,2,43
43,15273978,2,Firing Darts,1,44
44,15273979,0,Body Weight to Pin,1,45
45,15273980,0,Joint Lock,1,46
46,15273981,0,Punches,1,47
47,15273982,0,Kicks,1,48
48,15273983,0,Kicks,4,49
49,15273984,0,Body Weight to Pin,2,50
50,15273985,0,Punches,2,51
51,15273986,0,Push Away,1,52
52,15273987,0,Body Weight to Pin,2,53
53,15273988,0,Kicks,2,54
54,15273989,0,Kicks,2,55
55,15273990,0,Push Away,1,56
56,15273991,0,Punches,1,57
57,15273992,3,Personal Mace,1,58
58,15273993,0,Slaps,2,59
59,15273994,0,LVNR2,2,60
60,15273995,2,Firing Darts,4,61
61,15273996,0,Slaps,2,62
62,15273997,0,Body Weight to Pin,3,63
63,15273998,2,Firing Darts,2,64
64,15273999,4,Off Lead,2,65
65,15274000,0,Body Weight to Pin,1,66
66,15274001,0,Body Weight to Pin,2,67
67,15274002,0,Kicks,2,68
68,15274003,2,Firing Darts,1,69
69,15274004,0,Punches,2,70
70,15274005,0,Body Weight to Pin,1,71
71,15274006,3,Personal Mace,4,72
72,15274007,5,Flashlight,1,73
73,15274008,0,Punches,2,74
74,15274009,0,Body Weight to Pin,1,75
75,15274010,0,Kicks,2,76
76,15274011,0,Push Away,2,77
77,15274012,0,Body Weight to Pin,1,78
78,15274013,3,Personal Mace,1,79
79,15274014,0,Punches,1,80
80,15274015,0,Slaps,1,81
81,15274016,3,Personal Mace,3,82
82,15274017,3,Personal Mace,1,83
83,15274018,2,Touch,1,84
84,15274019,0,Body Weight to Pin,1,85
85,15274020,0,Punches,1,86
86,15274021,0,Push Away,1,87
87,15274022,0,Joint Lock,1,88
88,15274023,0,Knees,1,89
89,15274024,0,Body Weight to Pin,1,90
90,15274025,0,Body Weight to Pin,6,91
91,15274026,0,Body Weight to Pin,1,92
92,15274027,0,Knees,2,93
93,15274028,2,Firing Darts,1,94
94,15274029,2,Firing Darts,1,95
95,15274030,0,Body Weight to Pin,1,96
96,15274031,0,Knees,3,97
97,15274032,5,Flashlight,3,98
98,15274033,0,Push Away,2,99
99,15274034,0,Punches,1,100
100,15274035,2,Firing Darts,1,101
101,15274036,0,Joint Lock,1,102
102,15274037,0,Body Weight to Pin,1,103
103,15274038,2,Firing Darts,1,104
104,15274039,0,Joint Lock,1,105
105,15274040,0,Kicks,3,106
106,15274041,0,Joint Lock,2,107
107,15274042,0,Joint Lock,2,108
108,15274043,0,Punches,1,109
109,15274044,0,Joint Lock,1,110
110,15274045,0,Knees,2,111
111,15274046,0,Knees,1,112
112,15274047,0,Slaps,2,113
113,15274048,2,Firing Darts,1,114
114,15274049,2,Both,1,115
115,15274050,0,Punches,2,116
116,15274051,0,Slaps,1,117
117,15274052,0,Body Weight to Pin,1,118
118,15274053,0,Body Weight to Pin,2,119
119,15274054,0,Body Weight to Pin,1,120
120,15274055,3,Personal Mace,2,121
121,15274056,0,Knees,3,122
122,15274057,2,Touch,2,123
123,15274058,5,Firearm as striking tool,1,124
124,15274059,0,Body Weight to Pin,2,125
125,15274060,0,Knees,1,126
126,15274061,3,Personal Mace,3,127
127,15274062,0,Joint Lock,1,128
128,15274063,0,Body Weight to Pin,3,129
129,15274064,2,Firing Darts,2,130
130,15274065,0,Body Weight to Pin,2,131
131,15274066,0,Knees,3,132
132,15274067,0,Joint Lock,1,133
133,15274068,2,Touch,2,134
134,15274069,0,Body Weight to Pin,2,135
135,15274070,0,Joint Lock,1,136
136,15274071,0,Slaps,1,137
137,15274072,2,Firing Darts,1,138
138,15274073,0,Body Weight to Pin,2,139
139,15274074,0,Kicks,1,140
140,15274075,2,Touch,2,141
141,15274076,0,Punches,2,142
142,15274077,0,Joint Lock,1,143
143,15274078,0,Joint Lock,1,144
144,15274079,2,Both,1,145
145,15274080,0,Body Weight to Pin,1,146
146,15274081,0,LVNR2,1,147
147,15274082,0,Punches,3,148
148,15274083,2,Touch,1,149
149,15274084,0,Body Weight to Pin,1,150
150,15274085,0,Joint Lock,1,151
151,15274086,0,Kicks,1,152
152,15274087,0,Kicks,5,153
153,15274088,2,Firing Darts,1,154
154,15274089,3,Personal Mace,1,155
155,15274090,0,Slaps,3,156
156,15274091,3,Personal Mace,1,157
157,15274092,0,Punches,2,158
158,15274093,2,Firing Darts,1,159
159,15274094,2,Firing Darts,1,160
160,15274095,0,Punches,3,161
161,15274096,0,Body Weight to Pin,1,162
162,15274097,0,Push Away,1,163
163,15274098,0,Punches,1,164
164,15274099,0,Body Weight to Pin,1,165
165,15274100,0,Body Weight to Pin,2,166
166,15274101,0,Body Weight to Pin,2,167
167,15274102,0,Body Weight to Pin,1,168
168,15274103,0,Kicks,2,169
169,15274104,3,Personal Mace,1,170
170,15274105,0,Body Weight to Pin,1,171
171,15274106,0,Push Away,1,172
172,15274107,0,Joint Lock,3,173
173,15274108,2,Firing Darts,1,174
