precinct_summary_id,precinct_id,year,total_calls
0,1,2008,1000
1,1,2009,956
2,1,2010,874
3,1,2011,972
4,1,2012,735
5,1,2013,582
6,1,2014,606
7,1,2015,650
8,1,2016,916
9,1,2017,652
10,1,2018,756
11,1,2019,641
12,1,2020,785
13,2,2008,1046
14,2,2009,900
15,2,2010,679
16,2,2011,573
17,2,2012,671
18,2,2013,501
19,2,2014,736
20,2,2015,562
21,2,2016,538
22,2,2017,576
23,2,2018,545
24,2,2019,507
25,2,2020,820
26,3,2008,336
27,3,2009,326
28,3,2010,253
29,3,2011,216
30,3,2012,257
31,3,2013,164
32,3,2014,175
33,3,2015,183
34,3,2016,166
35,3,2017,156
36,3,2018,135
37,3,2019,256
38,3,2020,253
39,4,2008,549
40,4,2009,525
41,4,2010,496
42,4,2011,440
43,4,2012,579
44,4,2013,431
45,4,2014,586
46,4,2015,421
47,4,2016,324
48,4,2017,261
49,4,2018,241
50,4,2019,283
51,4,2020,635
52,5,2008,253
53,5,2009,197
54,5,2010,203
55,5,2011,283
56,5,2012,153
57,5,2013,225
58,5,2014,245
59,5,2015,224
60,5,2016,258
61,5,2017,282
62,5,2018,301
63,5,2019,401
64,5,2020,474
65,6,2008,56
66,6,2009,30
67,6,2010,4
68,6,2011,8
69,6,2012,13
70,6,2013,2
71,6,2014,7
72,6,2015,8
73,6,2016,1
74,6,2017,3
75,7,2018,8
76,7,2020,12
77,8,2018,3
78,8,2019,13
79,8,2020,5
80,9,1970,22
81,9,2008,87
82,9,2009,87
83,9,2010,87
84,9,2011,87
85,9,2012,87
86,9,2013,87
87,9,2014,87
88,9,2015,87
89,9,2016,87
90,9,2017,87
91,9,2018,87
92,9,2019,97
93,9,2020,90
94,10,2019,6
95,10,2020,20
