subject_id,race,sex,age,has_injury,role,role_number,resistance
1,Black,Male,28,,A,1,Fled in Vehicle
2,Black,Male,32,Yes,A,1,Assaulted Officer
3,White,Male,26,Yes,A,1,Fled in Vehicle
4,Black,Male,18,No,OT,1,Tensed
5,Black,Male,26,,A,1,Tensed
6,Black,Male,28,Yes,A,1,Assaulted Officer
7,Black,Male,21,No,OT,1,Fled on Foot
8,Black,Male,14,,S,1,Commission of Crime
9,Black,Female,54,,A,1,Verbal Non-Compliance
10,Black,Male,35,Yes,A,2,Unspecified
11,White,Male,36,Yes,A,1,Fled on Foot
12,Native American,Female,16,,A,1,Tensed
13,Black,Male,38,No,A,1,Assaulted Officer
14,Native American,Female,45,Yes,A,1,Tensed
15,Black,Male,21,No,A,1,Commission of Crime
16,White,Female,24,,A,2,Commission of Crime
17,Black,Female,35,,A,2,Commission of Crime
18,Black,Male,27,No,A,1,Verbal Non-Compliance
19,White,Male,34,,A,1,Tensed
20,Black,Male,26,,A,1,Tensed
21,Black,Male,34,No,A,1,Tensed
22,White,Male,38,Yes,A,1,Commission of Crime
23,Black,Female,22,Yes,A,1,Tensed
24,Black,Male,24,No,A,1,Fled on Foot
25,Black,Male,29,,A,1,Verbal Non-Compliance
26,Black,Male,16,No,A,2,Fled on Foot
27,White,Male,42,No,A,1,Unspecified
28,White,Female,21,,A,1,Tensed
29,Black,Male,21,No,A,1,Commission of Crime
30,Black,Male,32,No,A,1,Fled on Foot
31,White,Male,23,No,A,2,Tensed
32,White,Male,35,No,S,1,Commission of Crime
33,Black,Male,36,Yes,A,1,Fled on Foot
34,Black,Male,26,Yes,A,1,Fled on Foot
35,Black,Male,19,Yes,A,1,Fled on Foot
36,Black,Male,22,,A,1,Fled on Foot
37,Black,Male,22,,A,1,Tensed
38,Black,Male,34,No,A,1,Verbal Non-Compliance
39,Black,Male,37,No,A,1,Verbal Non-Compliance
40,Other / Mixed Race,Female,17,,A,1,Commission of Crime
41,White,Male,20,,A,1,Tensed
42,White,Female,26,No,A,1,Tensed
43,Black,Female,18,,S,1,Tensed
44,White,Male,21,Yes,A,1,Commission of Crime
45,White,Male,25,,A,1,Verbal Non-Compliance
46,White,Female,19,No,A,1,Verbal Non-Compliance
47,White,Male,17,No,A,1,Tensed
48,White,Male,17,No,A,1,Verbal Non-Compliance
49,Black,Male,23,No,A,1,Fled in Vehicle
50,Black,Male,48,No,A,1,Commission of Crime
51,Black,Male,38,No,A,1,Assaulted Officer
52,White,Female,41,Yes,OT,1,Tensed
53,White,Female,31,Yes,A,2,Verbal Non-Compliance
54,Black,Male,20,No,A,1,Fled on Foot
55,Black,Male,21,No,OT,1,Fled on Foot
56,Black,Male,22,No,A,1,Unspecified
57,Black,Male,30,No,S,1,Unspecified
58,Black,Male,21,No,A,1,Tensed
59,White,Male,21,No,OT,1,Verbal Non-Compliance
60,Black,Male,66,Yes,A,1,Assaulted Officer
61,Black,Male,23,No,A,1,Fled in Vehicle
62,Black,Male,34,No,A,1,Tensed
63,Black,Male,40,No,A,1,Commission of Crime
64,Black,Male,43,Yes,A,1,Tensed
65,Black,Male,18,Yes,A,1,Fled on Foot
66,White,Male,28,Yes,A,1,Fled on Foot
67,White,Male,38,No,A,1,Verbal Non-Compliance
68,Black,Male,17,Yes,A,1,Commission of Crime
69,Black,Male,29,Yes,A,1,Commission of Crime
70,Black,Male,19,No,A,1,Fled on Foot
71,White,Male,19,,A,1,Fled on Foot
72,Black,Male,28,Yes,A,1,Commission of Crime
73,Black,Male,19,Yes,A,1,Unspecified
74,White,Male,17,Yes,OT,2,Unspecified
75,Black,Female,18,,S,1,Tensed
76,Black,Male,30,No,A,1,Fled on Foot
77,Black,Female,40,,A,2,Tensed
78,Black,Female,20,,OT,1,Tensed
79,White,Male,30,,A,1,Unspecified
80,White,Male,18,No,A,2,Verbal Non-Compliance
81,Other / Mixed Race,Male,23,Yes,A,1,Unspecified
82,Black,Male,28,Yes,A,1,Commission of Crime
83,Black,Male,27,,A,1,Fled on Foot
84,Black,Male,24,No,OT,1,Fled on Foot
85,White,Male,39,,OT,1,Commission of Crime
86,Black,Male,44,No,A,1,Verbal Non-Compliance
87,Black,Male,40,No,A,1,Commission of Crime
88,Black,Male,46,Yes,A,1,Tensed
89,Black,Male,23,No,A,1,Verbal Non-Compliance
90,Black,Male,21,Yes,A,1,Unspecified
91,Black,Male,28,Yes,A,1,Assaulted Officer
