neighborhood_summary_id,year,neighborhood_id,total_calls
1,2008,1,22
2,2009,1,23
3,2010,1,12
4,2011,1,5
5,2012,1,7
6,2013,1,1
7,2014,1,6
8,2015,1,6
9,2016,1,3
10,2017,1,2
11,2018,1,1
12,2019,1,3
13,2020,1,10
14,2008,2,80
15,2009,2,50
16,2010,2,40
17,2011,2,62
18,2012,2,27
19,2013,2,46
20,2014,2,49
21,2015,2,56
22,2016,2,58
23,2017,2,55
24,2018,2,51
25,2019,2,96
26,2020,2,109
27,2008,3,50
28,2009,3,31
29,2010,3,25
30,2011,3,29
31,2012,3,20
32,2013,3,27
33,2014,3,33
34,2015,3,10
35,2016,3,14
36,2017,3,15
37,2018,3,24
38,2019,3,27
39,2020,3,29
40,2008,4,60
41,2009,4,37
42,2010,4,47
43,2011,4,28
44,2012,4,46
45,2013,4,30
46,2014,4,45
47,2015,4,40
48,2016,4,25
49,2017,4,54
50,2018,4,72
51,2019,4,35
52,2020,4,53
53,2008,5,78
54,2009,5,94
55,2010,5,75
56,2011,5,109
57,2012,5,113
58,2013,5,45
59,2014,5,78
60,2015,5,59
61,2016,5,41
62,2017,5,21
63,2018,5,16
64,2019,5,47
65,2020,5,80
66,2008,6,19
67,2009,6,7
68,2010,6,8
69,2011,6,16
70,2012,6,10
71,2013,6,9
72,2014,6,3
73,2015,6,4
74,2016,6,2
75,2017,6,2
76,2018,6,2
77,2019,6,1
78,2020,6,19
79,2008,7,18
80,2009,7,3
81,2010,7,18
82,2011,7,7
83,2012,7,5
84,2013,7,14
85,2014,7,1
86,2015,7,16
87,2016,7,4
88,2017,7,18
89,2018,7,10
90,2019,7,4
91,2020,7,13
92,2008,8,18
93,2009,8,13
94,2010,8,13
95,2011,8,13
96,2012,8,23
97,2013,8,11
98,2014,8,20
99,2015,8,18
100,2016,8,7
101,2017,8,7
102,2018,8,10
103,2019,8,20
104,2020,8,28
105,2008,9,234
106,2009,9,110
107,2010,9,78
108,2011,9,70
109,2012,9,125
110,2013,9,108
111,2014,9,127
112,2015,9,79
113,2016,9,80
114,2017,9,77
115,2018,9,86
116,2019,9,74
117,2020,9,197
118,2008,10,80
119,2009,10,38
120,2010,10,66
121,2011,10,40
122,2012,10,45
