neighborhood_id,neighborhood_name
1,Bottineau
2,Whittier
3,Cleveland
4,North Loop
5,Ventura Village
6,Bryant
7,Waite Park
8,Prospect Park - East River Road
9,Hawthorne
10,Central
11,Downtown West
12,Jordan
13,Corcoran
14,Folwell
15,Marcy Holmes
16,Willard - Hay
17,Standish
18,Harrison
19,McKinley
20,Near - North
21,Logan Park
22,Morris Park
23,Lyndale
24,East Phillips
25,St. Anthony East
26,Midtown Phillips
27,Sumner - Glenwood
28,Cedar Riverside
29,Steven's Square - Loring Heights
30,Longfellow
31,Wenonah
32,CARAG
33,Seward
34,Windom Park
35,Audubon Park
36,Como
37,Loring Park
38,Null
39,Northeast Park
40,Victory
41,East Harriet
42,Lowry Hill East
43,King Field
44,Nicollet Island - East Bank
45,St. Anthony West
46,Downtown East
47,Sheridan
48,Webber - Camden
49,Phillips West
50,Shingle Creek
51,Lind - Bohanon
52,Hiawatha
53,Elliot Park
54,Bancroft
55,Holland
56,Lynnhurst
57,East Isles
58,Linden Hills
59,Powderhorn Park
60,Lowry Hill
61,West Calhoun
62,Minnehaha
63,Tangletown
64,Regina
65,Beltrami
66,Ericsson
67,ECCO
68,Armatage
69,Field
70,Diamond Lake
71,Northrop
72,Marshall Terrace
73,Page
74,Hale
75,Bryn - Mawr
76,Keewaydin
77,Mid - City Industrial
78,Howe
79,Camden Industrial
80,Columbia Park
81,Kenny
82,Windom
83,Cedar - Isles - Dean
84,University of Minnesota
85,Kenwood
86,Fulton
87,Cooper
88,Humboldt Industrial Area
