police_force_id,force_number,force_category_id,force_action,force_report_number,subject_id
1,15500817,1,push away,1,1
2,15500818,2,firing darts,1,2
3,15500819,2,firing darts,1,3
4,15500820,3,strikes,2,4
5,15500821,1,body weight to pin,2,5
6,15500822,1,push away,2,6
7,15500823,1,slaps,1,7
8,15500824,1,joint lock,1,8
9,15500825,2,touch,1,9
10,15500826,1,kicks,1,10
11,15500827,2,firing darts,1,11
12,15500828,1,joint lock,1,12
13,15500829,1,joint lock,1,13
14,15500830,2,firing darts,1,14
15,15500831,1,push away,2,15
16,15500832,1,joint lock,2,16
17,15500833,2,both,1,17
18,15500834,1,slaps,1,18
19,15500835,1,knees,2,19
20,15500836,1,body weight to pin,1,20
21,15500837,1,knees,4,21
22,15500838,4,off lead,1,22
23,15500839,1,punches,2,23
24,15500840,1,slaps,2,24
25,15500841,1,punches,1,25
26,15500842,1,knees,1,26
27,15500843,5,flashlight,3,27
28,15500844,2,firing darts,1,28
29,15500845,1,kicks,1,29
30,15500846,1,body weight to pin,2,30
31,15500847,1,lvnr2,6,31
32,15500848,1,joint lock,1,32
33,15500849,1,lvnr1,1,33
34,15500850,2,firing darts,1,34
35,15500851,1,punches,1,35
36,15500852,1,push away,1,36
37,15500853,1,punches,1,37
38,15500854,1,punches,3,38
39,15500855,6,personal mace,1,39
40,15500856,2,touch,1,40
41,15500857,1,joint lock,2,41
42,15500858,1,kicks,3,42
43,15500859,1,joint lock,1,43
44,15500860,1,punches,1,44
45,15500861,1,body weight to pin,2,45
46,15500862,1,joint lock,2,46
47,15500863,2,firing darts,1,47
48,15500864,1,punches,2,48
49,15500865,1,knees,1,49
50,15500866,2,firing darts,1,50
51,15500867,1,body weight to pin,1,51
52,15500868,5,firearm as striking tool,1,52
53,15500869,1,knees,3,53
54,15500870,2,firing darts,1,54
55,15500871,2,touch,2,55
56,15500872,2,touch,5,56
57,15500873,1,push away,1,57
58,15500874,2,firing darts,1,58
59,15500875,4,off lead,2,59
60,15500876,1,kicks,3,60
61,15500877,1,punches,2,61
62,15500878,1,punches,3,62
63,15500879,6,personal mace,3,63
64,15500880,1,body weight to pin,1,64
65,15500881,1,push away,1,65
66,15500882,1,knees,2,66
67,15500883,6,personal mace,1,67
68,15500884,1,push away,3,68
69,15500885,2,firing darts,1,69
70,15500886,1,body weight to pin,1,70
71,15500887,1,slaps,2,71
72,15500888,1,body weight to pin,1,72
73,15500889,1,punches,2,73
74,15500890,1,punches,1,74
75,15500891,1,joint lock,1,75
76,15500892,2,firing darts,1,76
77,15500893,6,crowd control mace,2,77
78,15500894,2,firing darts,1,78
79,15500895,1,punches,1,79
80,15500896,1,punches,3,80
81,15500897,1,body weight to pin,1,81
82,15500898,1,knees,1,82
83,15500899,1,body weight to pin,2,83
84,15500900,1,kicks,1,84
85,15500901,1,knees,3,85
86,15500902,2,firing darts,1,86
87,15500903,1,punches,1,87
88,15500904,6,personal mace,1,88
89,15500905,1,lvnr1,1,89
90,15500906,1,knees,1,90
91,15500907,1,knees,1,91
92,15500908,1,body weight to pin,1,92
93,15500909,3,strikes,1,93
94,15500910,1,body weight to pin,2,94
95,15500911,1,lvnr3,2,95
96,15500912,1,body weight to pin,1,96
97,15500913,2,touch,1,97
98,15500914,1,knees,1,98
99,15500915,1,body weight to pin,2,99
100,15500916,1,knees,3,100
101,15500917,6,personal mace,1,101
102,15500918,1,body weight to pin,1,102
103,15500919,6,personal mace,2,103
104,15500920,1,body weight to pin,1,104
105,15500921,1,slaps,2,105
106,15500922,1,punches,1,106
107,15500923,1,body weight to pin,1,107
108,15500924,1,kicks,2,108
109,15500925,2,firing darts,1,109
110,15500926,1,body weight to pin,1,110
111,15500927,1,slaps,1,111
112,15500928,1,push away,1,112
113,15500929,1,joint lock,2,113
114,15500930,1,push away,1,114
115,15500931,1,punches,2,115
116,15500932,1,kicks,1,116
117,15500933,2,touch,1,117
118,15500934,1,body weight to pin,2,118
119,15500935,1,body weight to pin,3,119
120,15500936,6,crowd control mace,1,120
121,15500937,1,lvnr1,1,121
122,15500938,1,joint lock,1,122
123,15500939,1,body weight to pin,1,123
124,15500940,2,touch,1,124
125,15500941,1,body weight to pin,1,125
126,15500942,6,personal mace,5,126
127,15500943,1,joint lock,1,127
128,15500944,1,body weight to pin,1,128
129,15500945,1,push away,1,129
130,15500946,1,body weight to pin,1,130
131,15500947,5,flashlight,4,131
132,15500948,1,knees,3,132
133,15500949,1,punches,1,133
134,15500950,6,personal mace,1,134
135,15500951,1,kicks,1,135
136,15500952,1,body weight to pin,2,136
137,15500953,1,slaps,2,137
138,15500954,1,body weight to pin,2,138
