police_force_id,force_number,force_category_id,force_action,force_report_number,subject_id
0,15273935,0,body weight to pin,1,1
1,15273936,1,strikes,2,2
2,15273937,2,firing darts,4,3
3,15273938,0,push away,1,4
4,15273939,0,body weight to pin,1,5
5,15273940,0,punches,7,6
6,15273941,2,both,1,7
7,15273942,3,personal mace,1,8
8,15273943,3,personal mace,1,9
9,15273944,2,both,1,10
10,15273945,0,punches,1,11
11,15273946,0,body weight to pin,1,12
12,15273947,2,firing darts,1,13
13,15273948,0,joint lock,1,14
14,15273949,2,touch,1,15
15,15273950,3,personal mace,5,16
16,15273951,0,push away,2,17
17,15273952,0,body weight to pin,2,18
18,15273953,0,body weight to pin,1,19
19,15273954,0,joint lock,1,20
20,15273955,3,personal mace,1,21
21,15273956,2,both,1,22
22,15273957,2,touch,1,23
23,15273958,0,kicks,1,24
24,15273959,0,push away,1,25
25,15273960,0,knees,1,26
26,15273961,0,body weight to pin,1,27
27,15273962,3,personal mace,1,28
28,15273963,2,both,1,29
29,15273964,0,punches,1,30
30,15273965,0,punches,1,31
31,15273966,4,off lead,1,32
32,15273967,4,off lead,2,33
33,15273968,2,firing darts,1,34
34,15273969,0,slaps,1,35
35,15273970,0,body weight to pin,1,36
36,15273971,3,personal mace,1,37
37,15273972,0,knees,3,38
38,15273973,0,push away,1,39
39,15273974,0,push away,1,40
40,15273975,0,body weight to pin,1,41
41,15273976,0,joint lock,2,42
42,15273977,0,joint lock,2,43
43,15273978,2,firing darts,1,44
44,15273979,0,body weight to pin,1,45
45,15273980,0,joint lock,1,46
46,15273981,0,punches,1,47
47,15273982,0,kicks,1,48
48,15273983,0,kicks,4,49
49,15273984,0,body weight to pin,2,50
50,15273985,0,punches,2,51
51,15273986,0,push away,1,52
52,15273987,0,body weight to pin,2,53
53,15273988,0,kicks,2,54
54,15273989,0,kicks,2,55
55,15273990,0,push away,1,56
56,15273991,0,punches,1,57
57,15273992,3,personal mace,1,58
58,15273993,0,slaps,2,59
59,15273994,0,lvnr2,2,60
60,15273995,2,firing darts,4,61
61,15273996,0,slaps,2,62
62,15273997,0,body weight to pin,3,63
63,15273998,2,firing darts,2,64
64,15273999,4,off lead,2,65
65,15274000,0,body weight to pin,1,66
66,15274001,0,body weight to pin,2,67
67,15274002,0,kicks,2,68
68,15274003,2,firing darts,1,69
69,15274004,0,punches,2,70
70,15274005,0,body weight to pin,1,71
71,15274006,3,personal mace,4,72
72,15274007,5,flashlight,1,73
73,15274008,0,punches,2,74
74,15274009,0,body weight to pin,1,75
75,15274010,0,kicks,2,76
76,15274011,0,push away,2,77
77,15274012,0,body weight to pin,1,78
78,15274013,3,personal mace,1,79
79,15274014,0,punches,1,80
80,15274015,0,slaps,1,81
81,15274016,3,personal mace,3,82
82,15274017,3,personal mace,1,83
83,15274018,2,touch,1,84
84,15274019,0,body weight to pin,1,85
85,15274020,0,punches,1,86
86,15274021,0,push away,1,87
87,15274022,0,joint lock,1,88
88,15274023,0,knees,1,89
89,15274024,0,body weight to pin,1,90
90,15274025,0,body weight to pin,6,91
91,15274026,0,body weight to pin,1,92
92,15274027,0,knees,2,93
93,15274028,2,firing darts,1,94
94,15274029,2,firing darts,1,95
95,15274030,0,body weight to pin,1,96
96,15274031,0,knees,3,97
97,15274032,5,flashlight,3,98
98,15274033,0,push away,2,99
99,15274034,0,punches,1,100
100,15274035,2,firing darts,1,101
101,15274036,0,joint lock,1,102
102,15274037,0,body weight to pin,1,103
103,15274038,2,firing darts,1,104
104,15274039,0,joint lock,1,105
105,15274040,0,kicks,3,106
106,15274041,0,joint lock,2,107
107,15274042,0,joint lock,2,108
108,15274043,0,punches,1,109
109,15274044,0,joint lock,1,110
110,15274045,0,knees,2,111
111,15274046,0,knees,1,112
112,15274047,0,slaps,2,113
113,15274048,2,firing darts,1,114
114,15274049,2,both,1,115
115,15274050,0,punches,2,116
116,15274051,0,slaps,1,117
117,15274052,0,body weight to pin,1,118
118,15274053,0,body weight to pin,2,119
119,15274054,0,body weight to pin,1,120
120,15274055,3,personal mace,2,121
121,15274056,0,knees,3,122
122,15274057,2,touch,2,123
123,15274058,5,firearm as striking tool,1,124
124,15274059,0,body weight to pin,2,125
125,15274060,0,knees,1,126
126,15274061,3,personal mace,3,127
127,15274062,0,joint lock,1,128
128,15274063,0,body weight to pin,3,129
129,15274064,2,firing darts,2,130
130,15274065,0,body weight to pin,2,131
131,15274066,0,knees,3,132
132,15274067,0,joint lock,1,133
133,15274068,2,touch,2,134
134,15274069,0,body weight to pin,2,135
135,15274070,0,joint lock,1,136
136,15274071,0,slaps,1,137
137,15274072,2,firing darts,1,138
138,15274073,0,body weight to pin,2,139
139,15274074,0,kicks,1,140
140,15274075,2,touch,2,141
141,15274076,0,punches,2,142
142,15274077,0,joint lock,1,143
143,15274078,0,joint lock,1,144
144,15274079,2,both,1,145
145,15274080,0,body weight to pin,1,146
146,15274081,0,lvnr2,1,147
147,15274082,0,punches,3,148
148,15274083,2,touch,1,149
149,15274084,0,body weight to pin,1,150
150,15274085,0,joint lock,1,151
151,15274086,0,kicks,1,152
152,15274087,0,kicks,5,153
153,15274088,2,firing darts,1,154
154,15274089,3,personal mace,1,155
155,15274090,0,slaps,3,156
156,15274091,3,personal mace,1,157
157,15274092,0,punches,2,158
158,15274093,2,firing darts,1,159
159,15274094,2,firing darts,1,160
160,15274095,0,punches,3,161
161,15274096,0,body weight to pin,1,162
162,15274097,0,push away,1,163
163,15274098,0,punches,1,164
164,15274099,0,body weight to pin,1,165
165,15274100,0,body weight to pin,2,166
166,15274101,0,body weight to pin,2,167
167,15274102,0,body weight to pin,1,168
168,15274103,0,kicks,2,169
169,15274104,3,personal mace,1,170
170,15274105,0,body weight to pin,1,171
171,15274106,0,push away,1,172
172,15274107,0,joint lock,3,173
173,15274108,2,firing darts,1,174
174,15274109,0,body weight to pin,1,175
175,15274110,0,punches,2,176
176,15274111,3,personal mace,1,177
177,15274112,0,body weight to pin,2,178
178,15274113,0,joint lock,1,179
179,15274114,3,personal mace,1,180
180,15274115,0,punches,1,181
181,15274116,0,body weight to pin,1,182
182,15274117,3,personal mace,2,183
183,15274118,0,push away,1,184
184,15274119,0,punches,3,185
185,15274120,0,body weight to pin,3,186
186,15274121,3,personal mace,2,187
187,15274122,0,joint lock,1,188
188,15274123,0,body weight to pin,1,189
189,15274124,0,joint lock,1,190
190,15274125,0,joint lock,4,191
191,15274126,2,both,1,192
192,15274127,0,lvnr1,1,193
