precinct_summary_id,precinct_id,year,total_calls
0,1,2008,1999
1,1,2009,1897
2,1,2010,1732
3,1,2011,1833
4,1,2012,1492
5,1,2013,1203
6,1,2014,1397
7,1,2015,1307
8,1,2016,1545
9,1,2017,1294
10,1,2018,1313
11,1,2019,1362
12,1,2020,1789
13,2,2008,2091
14,2,2009,1752
15,2,2010,1350
16,2,2011,1253
17,2,2012,1360
18,2,2013,1037
19,2,2014,1375
20,2,2015,1143
21,2,2016,1151
22,2,2017,1060
23,2,2018,1011
24,2,2019,1117
25,2,2020,1549
26,3,2008,693
27,3,2009,643
28,3,2010,489
29,3,2011,454
30,3,2012,486
31,3,2013,327
32,3,2014,389
33,3,2015,356
34,3,2016,355
35,3,2017,303
36,3,2018,360
37,3,2019,399
38,3,2020,478
39,4,2008,1099
40,4,2009,1083
41,4,2010,981
42,4,2011,897
43,4,2012,1046
44,4,2013,804
45,4,2014,985
46,4,2015,797
47,4,2016,754
48,4,2017,645
49,4,2018,683
50,4,2019,697
51,4,2020,1012
52,5,2008,511
53,5,2009,452
54,5,2010,458
55,5,2011,531
56,5,2012,418
57,5,2013,430
58,5,2014,553
59,5,2015,487
60,5,2016,567
61,5,2017,536
62,5,2018,586
63,5,2019,618
64,5,2020,800
65,6,2008,104
66,6,2009,43
67,6,2010,14
68,6,2011,15
69,6,2012,23
70,6,2013,5
71,6,2014,12
72,6,2015,8
73,6,2016,8
74,6,2017,11
75,6,2018,8
76,6,2019,5
77,6,2020,8
78,7,2010,1
79,7,2013,2
80,7,2014,3
81,7,2015,1
82,7,2016,5
83,7,2017,4
84,7,2018,10
85,7,2019,6
86,7,2020,8
87,8,2009,1
88,8,2011,2
89,8,2012,1
90,8,2013,1
91,8,2014,3
92,8,2015,2
93,8,2016,3
94,8,2017,4
95,8,2018,7
96,8,2019,11
97,8,2020,4
98,9,2008,154
99,9,2009,167
100,9,2010,165
101,9,2011,167
102,9,2012,162
103,9,2013,165
104,9,2014,161
105,9,2015,159
106,9,2016,182
107,9,2017,173
108,9,2018,171
109,9,2019,178
110,9,2020,283
111,10,2009,1
112,10,2010,1
113,10,2011,2
114,10,2013,7
115,10,2014,1
116,10,2015,3
117,10,2016,7
118,10,2017,4
119,10,2018,1
120,10,2019,13
121,10,2020,9
