subject_id,race,sex,age,has_injury,role,role_number,resistance
1,Black,Male,28,,A,1,fled in vehicle
2,Black,Male,32,Yes,A,1,assaulted officer
3,White,Male,26,Yes,A,1,fled in vehicle
4,Black,Male,18,No,OT,1,tensed
5,Black,Male,26,,A,1,tensed
6,Black,Male,28,Yes,A,1,assaulted officer
7,Black,Male,21,No,OT,1,fled on foot
8,Black,Male,14,,S,1,commission of crime
9,Black,Female,54,,A,1,verbal non-compliance
10,Black,Male,35,Yes,A,2,unspecified
11,White,Male,36,Yes,A,1,fled on foot
12,Native American,Female,16,,A,1,tensed
13,Black,Male,38,No,A,1,assaulted officer
14,Native American,Female,45,Yes,A,1,tensed
15,Black,Male,21,No,A,1,commission of crime
16,White,Female,24,,A,2,commission of crime
17,Black,Female,35,,A,2,commission of crime
18,Black,Male,27,No,A,1,verbal non-compliance
19,White,Male,34,,A,1,tensed
20,Black,Male,26,,A,1,tensed
21,Black,Male,34,No,A,1,tensed
22,White,Male,38,Yes,A,1,commission of crime
23,Black,Female,22,Yes,A,1,tensed
24,Black,Male,24,No,A,1,fled on foot
25,Black,Male,29,,A,1,verbal non-compliance
26,Black,Male,16,No,A,2,fled on foot
27,White,Male,42,No,A,1,unspecified
28,White,Female,21,,A,1,tensed
29,Black,Male,21,No,A,1,commission of crime
30,Black,Male,32,No,A,1,fled on foot
31,White,Male,23,No,A,2,tensed
32,White,Male,35,No,S,1,commission of crime
33,Black,Male,36,Yes,A,1,fled on foot
34,Black,Male,26,Yes,A,1,fled on foot
35,Black,Male,19,Yes,A,1,fled on foot
36,Black,Male,22,,A,1,fled on foot
37,Black,Male,22,,A,1,tensed
38,Black,Male,34,No,A,1,verbal non-compliance
39,Black,Male,37,No,A,1,verbal non-compliance
40,Other / Mixed Race,Female,17,,A,1,commission of crime
41,White,Male,20,,A,1,tensed
42,White,Female,26,No,A,1,tensed
43,Black,Female,18,,S,1,tensed
44,White,Male,21,Yes,A,1,commission of crime
45,White,Male,25,,A,1,verbal non-compliance
46,White,Female,19,No,A,1,verbal non-compliance
47,White,Male,17,No,A,1,tensed
48,White,Male,17,No,A,1,verbal non-compliance
49,Black,Male,23,No,A,1,fled in vehicle
50,Black,Male,48,No,A,1,commission of crime
51,Black,Male,38,No,A,1,assaulted officer
52,White,Female,41,Yes,OT,1,tensed
53,White,Female,31,Yes,A,2,verbal non-compliance
54,Black,Male,20,No,A,1,fled on foot
55,Black,Male,21,No,OT,1,fled on foot
56,Black,Male,22,No,A,1,unspecified
57,Black,Male,30,No,S,1,unspecified
58,Black,Male,21,No,A,1,tensed
59,White,Male,21,No,OT,1,verbal non-compliance
60,Black,Male,66,Yes,A,1,assaulted officer
61,Black,Male,23,No,A,1,fled in vehicle
62,Black,Male,34,No,A,1,tensed
63,Black,Male,40,No,A,1,commission of crime
64,Black,Male,43,Yes,A,1,tensed
65,Black,Male,18,Yes,A,1,fled on foot
66,White,Male,28,Yes,A,1,fled on foot
67,White,Male,38,No,A,1,verbal non-compliance
68,Black,Male,17,Yes,A,1,commission of crime
69,Black,Male,29,Yes,A,1,commission of crime
70,Black,Male,19,No,A,1,fled on foot
71,White,Male,19,,A,1,fled on foot
72,Black,Male,28,Yes,A,1,commission of crime
73,Black,Male,19,Yes,A,1,unspecified
74,White,Male,17,Yes,OT,2,unspecified
75,Black,Female,18,,S,1,tensed
76,Black,Male,30,No,A,1,fled on foot
77,Black,Female,40,,A,2,tensed
78,Black,Female,20,,OT,1,tensed
79,White,Male,30,,A,1,unspecified
80,White,Male,18,No,A,2,verbal non-compliance
81,Other / Mixed Race,Male,23,Yes,A,1,unspecified
82,Black,Male,28,Yes,A,1,commission of crime
83,Black,Male,27,,A,1,fled on foot
84,Black,Male,24,No,OT,1,fled on foot
85,White,Male,39,,OT,1,commission of crime
86,Black,Male,44,No,A,1,verbal non-compliance
87,Black,Male,40,No,A,1,commission of crime
88,Black,Male,46,Yes,A,1,tensed
89,Black,Male,23,No,A,1,verbal non-compliance
90,Black,Male,21,Yes,A,1,unspecified
91,Black,Male,28,Yes,A,1,assaulted officer
92,Black,Male,25,,A,1,verbal non-compliance
93,White,Male,28,No,A,1,verbal non-compliance
94,Black,Female,28,Yes,A,1,tensed
95,Black,Male,24,No,A,1,commission of crime
96,White,Male,24,,A,1,unspecified
97,Black,Male,40,No,A,1,commission of crime
98,Black,Male,24,Yes,A,1,fled in vehicle
